state,value,area
Alabama,0,135.571
Alaska,0,"1,717,854"
Arkansas,0,294.207
Arizona,214,137.809
California,1806085,425.868
Colorado,354878,269.601
Connecticut,0,14.244
Delaware,0,4.923
District of Columbia,175847,177
Florida,124208,170.312
Georgia,41175,153.762
Hawaii,15150,28.313
Iowa,15805,149.842
Idaho,0,216.443
Illinois,0,145.884
Indiana,97227,213.1
Kansas,44767,104.452
Kentucky,32711,104.452
Louisiana,105786,135.571
Maine,0,91.747
Maryland,121279,32.042
Massachusetts,16735,27.266
Michigan,92023,250.487
Minnesota,176834,224.523
Missouri,83533,178.252
Mississippi,0,125.355
Montana,0,380.831
North Carolina,22586,139.445
North Dakota,0,182.366
Nebraska,0,200.547
New Hampshire,0,24.038
New Jersey,774,22.525
New Mexico,2485,314.917
Nevada,32006,286.38
New York,787349,141.378
Ohio,140876,116.194
Oklahoma,8871,180.647
Oregon,216751,254.799
Pennsylvania,42079,119.485
Rhode Island,24082,2.679
South Carolina,0,82.88
South Dakota,61304,199.729
Tennessee,10411,109.157
Texas,264285,695.662
Utah,0,219.887
Virginia,1815,110.935
Vermont,0,24.868
Washington,164903,184.661
Wisconsin,127623,169.641
West Virginia,0,62.256
Wyoming,0,253.335
